# Jeu SYNTHETIQUE de demonstration A.N.E.M.O.N.E — aucune valeur physique
Energie_MeV,Temps_ns,Angle_diffusion,Temperature_C
4.12189,20.69852,1.28146,19.69291
3.58401,42.27340,-1.41886,20.06096
4.30018,17.61383,-1.30427,19.76010
4.37623,13.46920,1.17313,19.83590
3.21959,86.02819,-1.59694,19.98512
3.47913,32.03972,0.94677,20.40420
4.05114,36.07587,-1.66393,20.54030
3.87350,5.52704,-0.99830,20.13444
3.99328,35.73696,-1.47534,19.88702
3.65878,26.48072,1.34693,20.74782
4.35176,61.04851,-1.51044,19.87173
4.31112,20.53903,1.47112,19.82866
4.02641,88.83655,1.08396,19.46752
4.45090,92.96666,-1.37863,20.41883
4.18700,9.98311,-0.83926,20.29047
3.65628,10.74030,-1.35337,20.72534
4.14750,11.53264,-1.26070,19.58314
3.61645,61.95693,-1.22100,20.43745
4.35138,12.19690,-0.62828,20.02104
3.98003,85.23823,-0.76985,20.24183
3.92606,75.42715,0.07246,19.50567
3.72763,81.98089,0.40707,20.44042
4.48902,52.60605,0.83988,20.23596
3.93819,99.66772,-1.19350,19.98833
3.82867,4.41751,-1.52536,20.19353
3.85915,40.12650,1.14010,19.77035
4.21292,32.39367,1.07358,19.82617
4.14618,94.86455,0.72347,19.86097
4.16509,57.68610,1.47233,19.44418
4.17233,80.61910,-1.17455,20.25853
4.85666,17.03412,-1.52984,20.35748
3.83743,97.86341,-0.74794,19.78960
3.79510,49.86395,-0.52461,20.10446
3.67449,49.36721,-1.40609,19.92034
4.24639,97.08847,0.25845,20.09848
4.45159,38.07324,0.52011,19.81173
3.95442,39.75250,1.48368,19.73497
3.66394,58.47527,1.36248,20.31562
3.67021,12.80526,0.36503,19.98084
4.26024,32.10856,1.07123,20.60663
4.29730,19.32083,0.89172,20.01389
4.21726,10.32835,-1.23600,19.72218
3.73380,86.61446,-1.46531,20.36808
4.09286,58.93312,1.21248,20.18924
4.04667,35.86728,-1.60140,20.21806
4.08748,40.86694,0.06341,20.35718
4.34857,43.15190,-1.20913,19.80416
4.08944,63.31492,0.70699,19.96182
4.27157,92.67694,-1.52426,19.94857
4.02703,93.27796,-1.33298,19.61278
4.11565,39.14920,1.39077,19.92092
4.25252,32.92625,1.52490,20.40091
3.41714,45.10465,1.45124,20.07120
3.87213,56.79342,0.35050,19.59618
3.81185,46.18179,1.22020,19.53325
3.74445,65.87534,0.20404,20.49943
3.88994,55.43990,-1.43989,19.97290
4.59798,32.07155,0.98846,19.80578
3.65367,34.57308,0.05859,19.91780
4.38731,37.85928,0.49959,19.55681
3.32685,9.46398,-0.09639,20.42693
3.86605,16.60626,-1.21921,19.88208
4.06510,72.31138,-0.00519,20.41022
4.23449,38.90967,1.48563,20.01550
4.28449,21.45390,0.71416,20.42886
4.31734,56.26724,-0.45691,20.07701
3.86051,75.55395,0.28677,20.25597
3.81506,25.74224,0.77592,20.21573
4.34319,82.67899,1.21919,20.18699
3.92348,92.75049,-1.48699,20.10438
3.48973,59.73945,0.02583,19.93014
3.54669,66.89477,-1.25506,20.57463
3.63222,5.25760,-1.46677,19.72792
4.19886,94.55199,0.25765,20.00129
4.05697,39.24847,1.37371,20.00447
4.27619,92.39004,-1.56999,20.12073
3.82910,57.89775,1.44782,19.87116
4.06342,0.46188,0.54956,20.09442
4.25024,3.85420,-1.05099,19.94935
3.87626,68.04188,-1.39548,19.52541
4.18271,56.26680,-0.46127,20.00287
3.73523,2.65324,0.83600,19.66983
3.85478,74.34600,-1.23660,19.47968
3.84730,85.21453,-0.57079,20.04106
3.52166,49.64175,-0.92221,20.14637
4.19479,46.57574,0.73834,20.15801
3.81224,0.54731,0.81336,20.17015
4.00500,78.66497,-0.12883,19.42022
4.19230,33.07161,1.40384,19.59169
4.17861,87.87636,-0.12853,20.59206
4.26615,37.30606,-0.77768,19.68584
3.96061,56.50779,-0.04013,20.18325
3.83068,27.03418,1.49497,19.79392
3.96811,16.05883,-0.54358,20.02390
3.32507,77.49079,1.48206,19.81002
3.42116,49.65905,-0.94304,20.16846
3.47092,53.64879,-0.33731,20.04103
3.60110,96.54160,1.12113,19.86551
4.15991,96.35799,1.27698,19.68495
3.63781,85.56421,-1.02420,20.08033
3.84873,18.76093,-0.12206,19.63618
4.51969,59.42727,0.47475,20.12824
3.85749,87.81474,-0.08616,20.78795
4.29501,37.44639,-0.37528,20.40505
3.62655,10.11062,-0.86845,20.21550
3.91782,81.09629,-0.89862,19.97432
3.61999,48.17636,-1.22638,19.41837
